LinkID,StartNode,EndNode
1,1,2
2,1,3
3,1,4
4,2,1
5,3,1
6,4,1
7,5,1
8,5,7
9,5,8
10,6,5
11,8,5
12,8,9
13,8,11
14,10,8
15,11,8
16,11,12
17,11,13
18,11,14
19,12,11
20,13,11
21,14,11
22,14,16
23,15,14
24,16,14
25,16,17
26,16,18
27,16,19
28,17,16
29,18,16
30,19,16
31,19,20
32,19,21
33,19,22
34,20,19
35,21,19
36,22,19
37,22,23
38,22,24
39,22,25
40,23,22
41,24,22
42,25,22
43,25,26
44,26,25
45,26,27
46,27,26
47,27,28
48,28,27
49,28,29
50,28,30
51,29,28
52,30,28
53,30,31
54,30,32
55,30,33
56,31,30
57,32,30
58,33,30
59,33,34
60,33,35
61,33,36
62,34,33
63,35,33
64,36,33
65,36,37
66,36,38
67,36,39
68,37,36
69,38,36
70,39,36
71,39,40
72,39,41
73,39,42
74,40,39
75,41,39
76,42,39
77,42,43
78,42,44
79,42,45
80,43,42
81,44,42
82,46,42
83,47,48
84,48,49
85,49,48
86,48,47
87,50,48
88,48,50
